train_id,coach_id,brand_task,priority,deadline,owner_team
T001,C004,Interior Posters,High,2025-09-23 0:00:00,Branding-Alpha
T001,C018,Interior Posters,High,2025-09-28 0:00:00,Branding-Alpha
T002,C007,Logo Update,High,2025-09-14 0:00:00,Branding-Alpha
T002,C018,Digital Display Branding,Low,2025-09-02 0:00:00,Branding-Alpha
T003,C006,Logo Update,Low,2025-09-03 0:00:00,Branding-Beta
T003,C004,Digital Display Branding,Medium,2025-09-06 0:00:00,Branding-Beta
T004,C002,Interior Posters,High,2025-09-12 0:00:00,Branding-Alpha
T004,C020,Full Paint,Medium,2025-09-04 0:00:00,Branding-Alpha
T005,C008,Safety Stickers,Medium,2025-09-12 0:00:00,Branding-Beta
T005,C015,Full Paint,High,2025-09-04 0:00:00,Branding-Beta
T006,C009,Safety Stickers,High,2025-08-29 0:00:00,Branding-Beta
T006,C018,Digital Display Branding,Medium,2025-09-15 0:00:00,Branding-Beta
T007,C011,Digital Display Branding,Medium,2025-09-22 0:00:00,Branding-Gamma
T007,C009,Logo Update,High,2025-09-27 0:00:00,Branding-Beta
T008,C007,Digital Display Branding,Low,2025-08-26 0:00:00,Branding-Gamma
T008,C009,Interior Posters,Medium,2025-09-14 0:00:00,Branding-Alpha
T009,C019,Logo Update,High,2025-09-11 0:00:00,Branding-Beta
T009,C017,Full Paint,Low,2025-09-13 0:00:00,Branding-Beta
T010,C006,Digital Display Branding,High,2025-09-01 0:00:00,Branding-Beta
T010,C020,Logo Update,High,2025-09-03 0:00:00,Branding-Beta
