train_id,coach_id,odometer_km,balance_action,next_due_km,remarks
T001,C004,46579,Wheel Rotation,55333,OK
T001,C018,17811,Wheel Rotation,23273,Check Next Cycle
T002,C007,157127,Wheel Rotation,168758,OK
T002,C018,82926,Axle Lube,96315,Monitor Wear
T003,C006,66443,Wheel Rotation,81000,Replace Soon
T003,C004,100165,Suspension Adjust,113797,Replace Soon
T004,C002,30656,Axle Lube,38436,Check Next Cycle
T004,C020,28233,Axle Lube,34771,Replace Soon
T005,C008,109647,Axle Lube,117806,Replace Soon
T005,C015,103132,Wheel Rotation,117263,OK
T006,C009,176455,Suspension Adjust,186466,OK
T006,C018,80765,Wheel Rotation,88208,OK
T007,C011,92694,Wheel Rotation,107587,Replace Soon
T007,C009,198196,Wheel Rotation,210392,Check Next Cycle
T008,C007,130285,Suspension Adjust,141623,Monitor Wear
T008,C009,151289,Wheel Rotation,161218,Check Next Cycle
T009,C019,67493,Suspension Adjust,75493,Replace Soon
T009,C017,38743,Suspension Adjust,45794,Check Next Cycle
T010,C006,110864,Suspension Adjust,119190,OK
T010,C020,13009,Suspension Adjust,22972,Monitor Wear
