train_id,coach_id,stable_id,length_m,width_m,height_m,yard_location
T001,C004,STB-001,21,4,5,Yard-1
T001,C018,STB-002,24,4,4,Yard-2
T002,C007,STB-003,24,4,5,Yard-2
T002,C018,STB-004,20,4,5,Yard-2
T003,C006,STB-005,24,3,4,Yard-3
T003,C004,STB-006,21,4,5,Yard-1
T004,C002,STB-007,23,4,5,Yard-1
T004,C020,STB-008,24,4,5,Yard-2
T005,C008,STB-009,21,4,4,Yard-1
T005,C015,STB-010,24,3,5,Yard-3
T006,C009,STB-011,22,3,5,Yard-3
T006,C018,STB-012,25,4,5,Yard-1
T007,C011,STB-013,23,4,4,Yard-2
T007,C009,STB-014,23,4,4,Yard-1
T008,C007,STB-015,25,3,5,Yard-1
T008,C009,STB-016,21,4,4,Yard-3
T009,C019,STB-017,23,3,5,Yard-2
T009,C017,STB-018,22,4,4,Yard-2
T010,C006,STB-019,25,3,4,Yard-2
T010,C020,STB-020,23,3,5,Yard-1
